job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode
[Sign-on Bonus]Technical Lead –Backend &Infrastructure,Everfit,Da Nang,"System Architecture, Leadership, Database, DevOps, English",2025-09-28 23:00:22,https://itviec.com/it-jobs/solution-architect-everfit-0250/content?job_index=6&locale=en&page=3,Solution Architect,At office
[Sign-on Bonus] Solution Architect,Everfit,Da Nang,"Solution Architecture, Cloud, Microservices, Leadership, English, System Architecture",2025-09-28 23:00:23,https://itviec.com/it-jobs/data-engineer-mid-sr-everfit-0523/content?job_index=7&locale=en&page=3,Data Engineer,At office
Data Engineer (Mid/Sr),Everfit,Ha Noi,"Data Engineer, Data Warehousing, AWS, Python, Databricks, ETL",2025-09-28 23:00:23,https://itviec.com/it-jobs/chuyen-vien-rui-ro-cong-nghe-it-risk-mb-bank-3007/content?job_index=8&locale=en&page=3,IT Auditor / IT Risk Manager,At office
Chuyên viên Rủi ro Công nghệ - IT Risk,MB Bank,Ha Noi,"Risk Management, ServiceNow, PCI DSS, IT Audit, Information Security",2025-09-28 23:00:24,https://itviec.com/it-jobs/chuyen-vien-rui-ro-cong-nghe-it-risk-specialist-mb-bank-2415/content?job_index=9&locale=en&page=3,IT Auditor / IT Risk Manager,At office
Chuyên viên Rủi ro Công nghệ - IT Risk Specialist,MB Bank,Ho Chi Minh,"Risk Management, SQL, Information Security, IT Audit, Governance, Risk & Compliance",2025-09-28 23:00:25,https://itviec.com/it-jobs/magento-developer-forix-0725/content?job_index=10&locale=en&page=3,Backend Developer,At office
Magento Developer,Forix,Da Nang,"Magento, PHP",2025-09-28 23:00:25,https://itviec.com/it-jobs/japanese-speaking-it-helpdesk-in-da-nang-hitachi-digital-services-3055/content?job_index=11&locale=en&page=3,Systems Engineer / Administrator,At office
Japanese Speaking IT Helpdesk (in Da Nang),Hitachi Digital Services,Ha Noi,"Japanese IT Communication, System Admin, IT Support, English",2025-09-28 23:00:26,https://itviec.com/it-jobs/it-support-engineer-cloud-networking-fujitsu-vietnam-1431/content?job_index=12&locale=en&page=3,IT Support,At office
IT Support Engineer (Cloud/ Networking),Fujitsu Vietnam,Ha Noi,,2025-09-28 23:00:27,https://itviec.com/it-jobs/bridge-system-engineer-brse-project-manager-solashi-vietnam-3705/content?job_index=13&locale=en&page=3,Bridge System Engineer (BrSE),At office
,,Ha Noi,,2025-09-29 23:00:28,https://itviec.com/it-jobs/backend-developer-python-odoo-erp-crm-hrm-izisolution-5541/content?job_index=14&locale=en&page=3,Backend Developer,
,,Ha Noi,,2025-09-29 23:00:29,https://itviec.com/it-jobs/senior-ai-engineer-mb-life-3802/content?job_index=15&locale=en&page=3,AI / Machine Learning Engineer,
Senior AI Engineer,MB Life,Da Nang,,2025-09-29 23:00:30,https://itviec.com/it-jobs/backend-engineer-nodejs-everfit-1630/content?job_index=16&locale=en&page=3,Backend Developer,At office
,,Ho Chi Minh - Ha Noi,,2025-09-29 23:00:31,https://itviec.com/it-jobs/consultant-sap-mm-japanese-language-deloitte-consulting-vietnam-0415/content?job_index=17&locale=en&page=3,ERP Developer,
Consultant - SAP MM (Japanese language),Deloitte Consulting Vietnam,Ho Chi Minh - Ha Noi,"SAP, Japanese",2025-09-27 23:00:31,https://itviec.com/it-jobs/consultant-sap-logistics-japanese-language-deloitte-consulting-vietnam-0302/content?job_index=18&locale=en&page=3,ERP Developer,At office
Consultant - SAP Logistics (Japanese language),Deloitte Consulting Vietnam,Ha Noi,"SAP, Japanese",2025-09-27 23:00:32,https://itviec.com/it-jobs/application-operation-engineer-vpbank-3031/content?job_index=19&locale=en&page=3,SysOps Engineer,At office
Consultant - SFDC Admin (Japanese Language),Deloitte Consulting Vietnam,Ho Chi Minh,"Salesforce, Japanese",2025-09-27 23:00:34,https://itviec.com/it-jobs/consultant-sfdc-admin-japanese-language-deloitte-consulting-vietnam-5140/content?job_index=0&locale=en&page=4,Enterprise Application Developer (CRM),At office
Consultant - SFDC Admin (Japanese Language),Deloitte Consulting Vietnam,Ho Chi Minh,"Salesforce, Japanese",2025-09-27 23:00:35,https://itviec.com/it-jobs/ai-expert-ph-d-holder-machine-learning-bosch-global-software-technologies-company-limited-5757/content?job_index=1&locale=en&page=4,AI Researcher,At office
